id,latitude,longitude,PGA
333,37.78782009,-122.394933364,0.515
456,37.790419474,-122.39469904800002,0.512
293,37.787440706,-122.395870224,0.517
624,37.78679485,-122.39281338699999,0.514
430,37.789663433,-122.39840561300001,0.518
377,37.790630217,-122.396684284,0.514
365,37.790311077,-122.39884409499999,0.518
358,37.788194573,-122.39361372,0.513
490,37.789543853,-122.391818689,0.509
350,37.77433514,-122.41805398399998,0.572
506,37.789473917,-122.39687036999999,0.516
117,37.777794822,-122.41338805000001,0.558
44,37.774864585,-122.41799612100002,0.571
261,37.789707111,-122.395045592,0.513
618,37.787015086,-122.39506555299998,0.517
1,37.790934745,-122.40343480100002,0.524
588,37.786916213,-122.392118458,0.513
315,37.786634408,-122.398296563,0.522
196,37.776222472,-122.417380796,0.568
23,37.788651504,-122.39807833900001,0.519
55,37.776811167,-122.415232623,0.563
16,37.785943332,-122.39356355,0.516
443,37.777628878,-122.413167865,0.558
611,37.788507922,-122.39150120099998,0.51
81,37.788425954,-122.392218846,0.511
183,37.781123654000005,-122.41890758100001,0.562
271,37.785588382,-122.39200097700001,0.514
396,37.785570213,-122.398807927,0.524
425,37.78602212,-122.403126765,0.53
220,37.778048502,-122.41261257800001,0.557
451,37.790162691,-122.396108241,0.514
435,37.788516675,-122.398215586,0.519
603,37.781673276,-122.40496138200001,0.539
105,37.785988987,-122.401466962,0.527
322,37.786226594,-122.39202683,0.513
274,37.789469803,-122.391190328,0.508
452,37.789252835,-122.39066019899998,0.507
463,37.786687472,-122.39349177900002,0.515
468,37.787081194,-122.40177632200002,0.526
507,37.785962578,-122.389078504,0.51
31,37.786658589,-122.39069681000001,0.511
211,37.78800635,-122.39205561900002,0.511
101,37.788545555,-122.400258744,0.522
557,37.790304431,-122.390964217,0.507
614,37.788525599,-122.399354047,0.521
362,37.788384374,-122.401451306,0.524
519,37.793493388,-122.398678082,0.513
203,37.788377963,-122.39909199,0.521
243,37.78521078,-122.40051450600001,0.527
324,37.789725783,-122.394757579,0.513
239,37.786191177,-122.40366118,0.53
622,37.791815687,-122.400375814,0.518
417,37.791087255,-122.39375388000002,0.509
148,37.79379736400001,-122.40350248100002,0.52
236,37.79319812600001,-122.404671361,0.523
551,37.791485568,-122.392501194,0.507
108,37.791350794,-122.39408442400001,0.51
